GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testsunit,org.factoriaf5.testsunit,Example,0,131,1,19,0,36,1,23,0,14
testsunit,org.factoriaf5.testsunit,App,4,0,0,0,2,0,2,0,2,0
